"","geo_name","output","employees","investments","year","t"
"174","Ireland",6749.4,26.31,4031.6,2000,6
"175","Czechia",174386,151.95,100031,2004,10
"176","Latvia",727,52.72,460.8,1997,3
"177","Greece",12789.9,126.1,4883.9,2001,7
"178","Portugal",11557.7,98.5,6877,2021,27
"179","United Kingdom",32773,204.849,20481,2018,24
"180","Finland",6805,25.2,3063,1995,1
"181","Austria",7480.6,20.48,3863.9,1999,5
"182","France",86045.2,321.4,54179.1,2012,18
"183","Ireland",9225.3,26.81,6012.8,2019,25
"184","Germany",42509,324,21928,1996,2
"185","Latvia",2428.1,32.68,1613.4,2016,22
"186","Romania",72963,291.1,38161.7,2013,19
"187","United States",366600,1160527,220800,2010,16
"188","Finland",9749,30.7,5184,2014,20
"189","Austria",9895.5,30.19,5645,2018,24
"190","Bulgaria",10352.5,88.33,6076.7,2008,14
"191","Italy",56051.6,410.5,25405.3,2011,17
"192","Malta",241.3,0.93,174.3,2008,14
"193","Spain",47945,429,23105,2012,18
"194","Sweden",109796,34,75832,2005,11
"195","France",69177.2,358.2,42833.3,2006,12
"196","Japan",13165543,514022.33984375,6204217,2003,9
"197","Denmark",67060.1,35.96,46658.6,2007,13
"198","Lithuania",4137.4,36.3,2361.8,2020,26
"199","Netherlands",22825,107,12376,2000,6
"200","Slovenia",1097.4,14.21,591.4,1997,3
"201","Croatia",2437.9,36.56,1282.1,1998,4
"202","Bulgaria",6811.7,93.31,3503.5,2002,8
"203","Lithuania",1911,77.61,1144.3,1995,1
"204","Estonia",1515.5,17.35,1055.8,2016,22
"205","Netherlands",36178,103,21584,2019,25
"206","Slovenia",1679.3,5.14,938.6,2016,22
"207","United Kingdom",20451,213.526,12050,2006,12
"208","Croatia",3053.2,35.89,1615.8,2017,23
"209","Bulgaria",12523.3,100.24,6452.6,2021,27
"210","Lithuania",3425,51.08,2172.5,2014,20
"211","Poland",127828,210.3,78223,2011,17
"212","Romania",28995,348,13558.5,2001,7
"213","Slovakia",3679.4,66.26,2061.2,2008,14
"214","Austria",7705.9,21.71,4175.6,2006,12
"215","Hungary",2122817,112.77,1330033,2009,15
"216","Luxembourg",289.7,1.01,183.2,2006,12
"217","Estonia",1171.7,16.67,704.3,2010,16
"218","Portugal",7177.8,95.9,3305.3,2003,9
"219","United Kingdom",19465,220.663,10441,2000,6
"220","Ireland",6054.3,23.58,3620,2001,7
"221","Czechia",170540,146.85,95521,2005,11
"222","Latvia",682.6,52.53,454.9,1998,4
"223","Greece",12873.4,123.1,4577.1,2002,8
"224","Romania",2534.7,556.3,1152.4,1995,1
"225","United Kingdom",35137,199.463,21628,2019,25
"226","Finland",6619,25.5,3098,1996,2
"227","Austria",7319.7,20.5,3770.6,2000,6
"228","France",84146.4,321.9,55279.9,2013,19
"229","Ireland",9662.3,26.08,6071.2,2020,26
"230","Germany",42008,323,21626,1997,3
"231","Latvia",2557.1,36.2,1614.1,2017,23
"232","Romania",70874.6,288.3,37774.9,2014,20
"233","United States",429500,1146999,249600,2011,17
"234","Finland",9425,30.6,5094,2015,21
"235","Austria",9792.8,30.48,5659.1,2019,25
"236","Bulgaria",8681.1,93.6,5581.3,2009,15
"237","Italy",57340.2,418.2,26170.3,2012,18
"238","Malta",240.5,0.96,156.8,2009,15
"239","Spain",52197,421.9,25433,2013,19
"240","Sweden",129612,34,90943,2006,12
"241","France",75857.9,351.3,46465.6,2007,13
"242","Japan",13086560,501848.08984375,6411253,2004,10
"243","Denmark",67684.6,37.35,52452.5,2008,14
"244","Lithuania",4611.7,33.64,2686.9,2021,27
"245","Netherlands",23686,118,12890,2001,7
"246","Slovenia",1122.2,13.8,589.8,1998,4
"247","Croatia",2588.3,36.37,1383,1999,5
"248","Bulgaria",6917.3,91.91,3584.9,2003,9
"249","Lithuania",2386,62.52,1323.3,1996,2
"250","Estonia",1670.2,16.44,1101.4,2017,23
"251","Netherlands",35640,105,21455,2020,26
"252","Slovenia",1655.5,4.97,933.8,2017,23
"253","United Kingdom",21902,206.92,13214,2007,13
"254","Croatia",3213.4,35.87,1672.5,2018,24
"255","Cyprus",640.7,6.92,273.9,1995,1
"256","Lithuania",3484,52.91,2197.2,2015,21
"257","Poland",130812,205.9,82378,2012,18
"258","Romania",33332.3,364.6,16061,2002,8
"259","Slovakia",2954.4,61.85,1731.3,2009,15
"260","Austria",8749.8,22.84,4624.1,2007,13
"261","Hungary",2119373,113.8,1294596,2010,16
"262","Luxembourg",351.4,1.04,214.7,2007,13
"263","Estonia",1462.3,17.77,848.6,2011,17
"264","Portugal",7434.2,97.2,3472.5,2004,10
"265","United Kingdom",18870,203.192,10163,2001,7
"266","Ireland",5868.2,23.51,3508.2,2002,8
"267","Czechia",178997,141.93,102640,2006,12
"268","Latvia",609.4,51.59,382,1999,5
"269","Greece",13313.7,119.9,4044.7,2003,9
"270","Romania",3831.5,552.9,1834.2,1996,2
"271","United Kingdom",34676,213.982,20786,2020,26
"272","Finland",6994,25.8,3201,1997,3
"273","Austria",7681.8,20.51,3934.3,2001,7
"274","France",86540.6,326.6,55062.8,2014,20
"275","Ireland",10991.3,25.35,6646,2021,27
"276","Germany",40917,324,21150,1998,4
"277","Latvia",2910.4,36.9,1879.7,2018,24
"278","Romania",66986.7,266.6,35449.8,2015,21
"279","United States",451100,1188828.99999999,271600,2012,18
"280","Finland",9668,30.8,5160,2016,22
"281","Austria",9660.5,30.09,5585.8,2020,26
"282","Bulgaria",8602.8,88.95,5583,2010,16
"283","Italy",59751.1,408.1,26388.8,2013,19
"284","Malta",215.5,0.95,128.2,2010,16
"285","Spain",50421,448.5,24167,2014,20
"286","Sweden",152497,34,104840,2007,13
"287","France",77595.1,337.8,49331,2008,14
"288","Japan",12398357,512070.890625,6299350,2005,11
"289","Denmark",64688.9,37.2,50732.5,2009,15
"290","Luxembourg",267.7,1.38,125.2,1995,1
"291","Netherlands",23483,117,12985,2002,8
"292","Slovenia",1066.5,11.98,563,1999,5
"293","Croatia",2569.5,37.81,1379,2000,6
"294","Slovenia",1815,5.06,928.2,2020,26
"295","Lithuania",2286.6,57.29,1182.2,1997,3
"296","Estonia",1833.6,15.32,1291.8,2018,24
"297","Netherlands",38802,106,24050,2021,27
"298","Slovenia",1944,5.18,1038.7,2018,24
"299","United Kingdom",24898,204.83,14150,2008,14
"300","Croatia",3279.4,33.13,1710.8,2019,25
"301","Cyprus",655.3,6.6,290,1996,2
"302","Czechia",252741,120.3,154870,2013,19
"303","Poland",133658,208.3,80815,2013,19
"304","Romania",43082.7,289.6,20216.9,2003,9
"305","Slovakia",2545.1,58.08,1515.2,2010,16
"306","Austria",8910.8,22.53,4868.6,2008,14
"307","Hungary",2638266,111.58,1506270,2011,17
"308","Luxembourg",370.4,1.06,247.3,2008,14
"309","Germany",39837,303,22951,2005,11
"310","Portugal",7153.7,97.2,3501.4,2005,11
"311","United States",439200,1137296,277100,2019,25
"312","Ireland",5410.4,23.33,3255.9,2003,9
"313","Czechia",200374,132.4,119820,2007,13
"314","Latvia",720.1,49.89,415.4,2000,6
"315","Greece",13195.1,106.2,4600.4,2004,10
"316","Spain",65538,500.4,31337,2021,27
"317","United Kingdom",38862,207.973,22656,2021,27
"318","Finland",6658,27.2,3165,1998,4
"319","France",86329.8,334.1,53229.5,2015,21
"320","Italy",47268.3,481.2,17808.1,1995,1
"321","Germany",40987,326,21027,1999,5
"322","Latvia",3114,36,1974.7,2019,25
"323","Romania",68776.7,270.3,36494,2016,22
"324","United States",487400,1200426.99999999,271500,2013,19
"325","Finland",9858,30.5,5211,2017,23
"326","Austria",11325.8,31.19,6386.3,2021,27
"327","Bulgaria",9783.2,91.46,6001.6,2011,17
"328","Italy",56968.6,415.7,25748.4,2014,20
"329","Malta",202.3,0.87,125.8,2011,17
"330","Spain",54973,463.8,25368,2015,21
"331","Sweden",158324,36,115600,2008,14
"332","Japan",12345822,538911.58984375,6357263,2006,12
"333","Denmark",72333.4,38.16,50788.3,2010,16
"334","Luxembourg",261.8,1.34,131.1,1996,2
"335","Netherlands",23477,114,12830,2003,9
"336","Slovenia",1175.3,11.63,612.8,2000,6
"337","Croatia",2840.3,37.01,1562.1,2001,7
"338","Slovenia",1855.9,4.69,1069.7,2021,27
"339","Lithuania",2113.9,61.82,1116.2,1998,4
"340","Estonia",2063.8,14.56,1418.8,2019,25
"341","Poland",54632,352.2,34764,1995,1
"342","Slovenia",1837.8,5.28,985.2,2019,25
"343","United Kingdom",24508,192.928,14038,2009,15
"344","Croatia",3302.3,36.55,1714.7,2020,26
"345","Cyprus",618.6,6.03,290.4,1997,3
"346","Czechia",262791,119.91,158039,2014,20
"347","Poland",134502,208,83689,2014,20
"348","Romania",58626.8,387.6,27537.9,2004,10
"349","Slovakia",2836.3,58.25,1551.5,2011,17
"350","Austria",7919.3,22.34,4551.1,2009,15
"351","Hungary",2692117,121.27,1567592,2012,18
"352","Luxembourg",327,1.1,235.8,2009,15
"353","Germany",41547,297,24161,2006,12
"354","Portugal",7291,98.3,3544.9,2006,12
"355","United States",443600,1112467.70704225,282900,2020,26
"356","Ireland",6027.5,22.79,3567.8,2004,10
"357","Czechia",206067,133.22,128531,2008,14
"358","Latvia",809.6,57.11,481.7,2001,7
"359","Greece",13637.8,75.5,4917.4,2005,11
"360","United States",232700,1289718.00000001,142000,1995,1
"361","Finland",6815,28.9,3152,1999,5
"362","France",81249.9,336.4,51388.5,2016,22
"363","Italy",49640.1,450.5,18497.7,1996,2
"364","Germany",43168,329,21953,2000,6
"365","Latvia",3066,40.79,1873.9,2020,26
"366","Romania",78256.1,268.3,40454,2017,23
"367","United States",498600,1142338.99999999,298000,2014,20
"368","Finland",10400,30.9,5497,2018,24
"369","Belgium",7053.2,14.7,4302.9,1995,1
"370","Bulgaria",9623.5,87.72,5962.3,2012,18
"371","Italy",58363.7,422.2,25239.1,2015,21
"372","Malta",257.5,0.88,175.9,2012,18
"373","Spain",56241,492.8,24627,2016,22
"374","Sweden",146122,37,108249,2009,15
"375","Japan",12472951,570809.83203125,6583041,2007,13
"376","Denmark",78800.8,37.41,55355.4,2011,17
"377","Luxembourg",248.4,1.36,125,1997,3
"378","Netherlands",23285,112,13320,2004,10
"379","Slovenia",1225,10.36,655.2,2001,7
"380","Croatia",2990.5,35.29,1620.3,2002,8
"381","Slovakia",2009.7,194.02,1583.2,1995,1
"382","Lithuania",1741.3,63.17,930,1999,5
"383","Estonia",1888.4,12.81,1350.2,2020,26
"384","Poland",63907,250.1,40927,1996,2
"385","Czechia",264952,113.83,155903,2017,23
"386","United Kingdom",24434,196.488,14997,2010,16
"387","Croatia",3726.3,38.2,1766.1,2021,27
"388","Cyprus",695.4,6.33,302.7,1998,4
"389","Czechia",266571,115.81,161490,2015,21
"390","Poland",125020,204.2,80077,2015,21
"391","Romania",49701.6,353.2,25358.2,2005,11
"392","Slovakia",2965.7,55.95,1642.6,2012,18
"393","Austria",8674.3,22.75,4872.5,2010,16
"394","Hungary",2856761,116.42,1666532,2013,19
"395","Luxembourg",352.9,1.19,239.1,2010,16
"396","Germany",47669,305,26770,2007,13
"397","Portugal",7511.2,95.9,4004.8,2007,13
"398","United States",535200,1119675.92112676,309600,2021,27
"399","Ireland",5321.8,21.62,3561.6,2005,11
"400","Czechia",183284,128.01,113888,2009,15
"401","Latvia",867,58.14,490.5,2002,8
"402","Greece",11982.5,85.9,4941.5,2006,12
"403","United States",255600,1270611.00000001,142000,1996,2
"404","Finland",7431,30.1,3401,2000,6
"405","Romania",83229.2,301.2,39751.1,2020,26
"406","France",83984.3,336.9,51099.6,2017,23
"407","Italy",49595.1,436,18289.1,1997,3
"408","Germany",45570,311,21785,2001,7
"409","Latvia",3506.4,39.37,2148.3,2021,27
"410","Romania",87528,301.3,44390.9,2018,24
"411","United States",457900,1171786,275800,2015,21
"412","Finland",10835,30.1,5612,2019,25
"413","Belgium",7267.4,14.4,4421,1996,2
"414","Bulgaria",9420.8,87.61,5706.8,2013,19
"415","Italy",56305.3,439.7,24779.9,2016,22
"416","Malta",262.6,0.86,179.7,2013,19
"417","Spain",58304,505,25503,2017,23
"418","Sweden",168860,40,120501,2010,16
"419","Japan",12618678,592593.6875,6833752,2008,14
"420","Denmark",87404.2,37.24,56784.4,2012,18
"421","Luxembourg",271,1.34,130.1,1998,4
"422","Netherlands",23956,109,13606,2005,11
"423","Lithuania",1586.5,50.26,861.5,2002,8
"424","Slovenia",1352.3,9.93,678.7,2002,8
"425","Croatia",2699.5,36.21,1473.1,2003,9
"426","Slovakia",2280.5,177.75,1803,1996,2
"427","Lithuania",1496.1,63.6,750.3,2000,6
"428","Estonia",2170.6,11.58,1566,2021,27
"429","Poland",64659,265.9,40417,1997,3
"430","Czechia",270504,112.8,162710,2018,24
"431","United Kingdom",28299,190.813,16951,2011,17
"432","Hungary",1018910,236.67,592613,1995,1
"433","Cyprus",665.5,6.43,286.1,1999,5
"434","Czechia",257039,112.96,153006,2016,22
"435","Poland",130002,204.7,81043,2016,22
"436","Romania",54162.1,345,27355.3,2006,12
"437","Slovakia",3168.8,59.13,1620.4,2013,19
"438","Austria",9948.4,24.18,5445.1,2011,17
"439","Hungary",2977037,116.31,1681923,2014,20
"440","Luxembourg",372.5,1.21,261.2,2011,17
"441","Germany",50953,307,29280,2008,14
"442","Portugal",7799.2,96.9,4282,2008,14
"443","Ireland",6549.3,24.95,4845.9,2006,12
"444","Czechia",181608,112.48,120203,2010,16
"445","Latvia",925.2,55.49,550.1,2003,9
"446","Greece",12450.7,84.8,5217.4,2007,13
"447","United States",257900,1313637.00000001,149200,1997,3
"448","Finland",7484,30.1,3486,2001,7
"449","Romania",104817.2,235,49904.7,2021,27
"450","France",88837.2,346.6,52774.2,2018,24
"451","Italy",49679.5,426.4,18119.2,1998,4
"452","Germany",42324,306,22284,2002,8
"453","Malta",138.8,0.77,70.1,1995,1
"454","Romania",90047.7,312.6,44192.7,2019,25
"455","United States",430900,1171017,263400,2016,22
"456","Finland",10343,32.5,5047,2020,26
"457","Belgium",7439.8,14.7,4435,1997,3
"458","Bulgaria",9307.7,90.83,5471.6,2014,20
"459","Italy",58430.1,444.9,25399.3,2017,23
"460","Malta",261.6,0.94,172,2014,20
"461","Spain",60221,513.6,27474,2018,24
"462","Sweden",180876,41,128575,2011,17
"463","Japan",12060558,606299.6171875,6472597,2009,15
"464","Denmark",82971.5,37.15,58648.5,2013,19
"465","Luxembourg",269.5,1.36,122.9,1999,5
"466","Netherlands",25992,109,14479,2006,12
"467","Lithuania",1500.8,49.8,764.3,2003,9
"468","Slovenia",1262.4,9.33,700.1,2003,9
"469","Croatia",3120,33.59,1634.2,2004,10
"470","Slovakia",2309.3,166.63,1832.1,1997,3
"471","Lithuania",1497.4,47.33,806.4,2001,7
"472","Greece",11220.6,142.3,4916.1,1995,1
"473","Poland",68704,293.9,44225,1998,4
"474","United Kingdom",27644,203.566,16875,2012,18
"475","Hungary",1312690,240.27,784223,1996,2
"476","Cyprus",672.3,7.06,285.8,2000,6
"477","Poland",144912,217.9,85299,2017,23
"478","Romania",53001.3,368.5,29581.9,2007,13
"479","Slovakia",3757.4,57.23,1755.3,2014,20
"480","Austria",10049,25,5560.8,2012,18
"481","Hungary",3010409,117.17,1694508,2015,21
"482","Luxembourg",433.5,1.26,299.5,2012,18
"483","Germany",44209,312,27489,2009,15
"484","Portugal",7328.8,95.1,3907.1,2009,15
"485","Ireland",7088.8,23.58,5032.9,2007,13
"486","Czechia",231322,116.99,150892,2011,17
"487","Latvia",1132.7,37.9,668.7,2004,10
"488","Greece",12187,84.4,5275.4,2008,14
"489","United States",249800,1314161.00000001,149000,1998,4
"490","Finland",7553,31,3585,2002,8
"491","Sweden",131659,34,81054,1995,1
"492","France",88110.5,353.1,53858.1,2019,25
"493","Italy",50185,411.4,18177.7,1999,5
"494","Germany",41376,306,22792,2003,9
"495","Malta",145.6,0.88,73.8,1996,2
"496","United States",448900,1175577.99999999,272100,2017,23
"497","Finland",10698,31.6,5327,2021,27
"498","Belgium",7167.5,15.4,4246.5,1998,4
"499","Bulgaria",8840.9,95.9,5202.5,2015,21
"500","Italy",59639.2,452.2,26616.7,2018,24
"501","Malta",291.4,0.85,195.2,2015,21
"502","Spain",59571,501.2,27980,2019,25
"503","Sweden",164631,41,117979,2012,18
"504","Spain",36473,357,15059,1996,2
"505","Japan",12369764,610526.80859375,6525602,2010,16
"506","Denmark",83316.3,39.36,56514.9,2014,20
"507","Luxembourg",270.9,1.38,133.7,2000,6
"508","Netherlands",27282,110,15874,2007,13
"509","Lithuania",1608.4,48.36,848.1,2004,10
"510","Slovenia",1411.5,8.55,752.9,2004,10
"511","Croatia",3036.5,32.53,1637.6,2005,11
"512","Slovakia",2320.2,149.99,1782.8,1998,4
"513","Greece",11309.9,140.3,5104.7,1996,2
"514","Poland",66249,262.8,43525,1999,5
"515","United Kingdom",28929,191.625,17647,2013,19
"516","Hungary",1378239,224.38,802951,1997,3
"517","Cyprus",762.9,7.1,322.1,2001,7
"518","Poland",140321,195.1,88443,2018,24
"519","Romania",73414,333.2,39394.2,2008,14
"520","Slovakia",3629.4,57.93,1984.9,2015,21
"521","Austria",9702.5,25.66,5598.1,2013,19
"522","Hungary",3122100,125.57,1717656,2016,22
"523","Luxembourg",446.9,1.22,318.3,2013,19
"524","Germany",49446,310,29152,2010,16
"525","Portugal",7582.7,94.5,4092.8,2010,16
"526","Ireland",6895.6,24.46,5303.6,2008,14
"527","Czechia",242270,116.74,150363,2012,18
"528","Latvia",1272.5,38.72,765.7,2005,11
"529","Greece",11787,86.6,4931.1,2009,15
"530","United States",245300,1368265.00000001,152000,1999,5
"531","Finland",7506,31.8,3658,2003,9
"532","Sweden",127764,34,81963,1996,2
"533","France",86673.9,359,52817,2020,26
"534","Italy",50473.4,414.7,18637.4,2000,6
"535","Germany",44799,316,23041,2004,10
"536","Malta",153.9,0.76,78.7,1997,3
"537","United States",448100,1152683,271000,2018,24
"538","France",67592.7,385,39512.8,1995,1
"539","Belgium",6662.4,15.9,4054.6,1999,5
"540","Bulgaria",8609.9,101,4743.6,2016,22
"541","Italy",59737.9,442.4,26927.9,2019,25
"542","Malta",339.9,0.88,230.2,2016,22
"543","Spain",59667,476.2,28222,2020,26
"544","Sweden",157492,41,110667,2013,19
"545","Spain",37112,396.4,14823,1997,3
"546","Japan",12102048,609157.88671875,6474845,2011,17
"547","Denmark",77013.2,41.28,58572.4,2015,21
"548","Luxembourg",271.1,1.41,137.3,2001,7
"549","Netherlands",28254,107,17492,2008,14
"550","Lithuania",1985.7,46.19,1077.6,2005,11
"551","Slovenia",1429.2,8.14,728.4,2005,11
"552","Croatia",3171.3,32.06,1600.3,2006,12
"553","Slovakia",2244.6,131.52,1809.9,1999,5
"554","Greece",11716.3,135.5,4942.2,1997,3
"555","Poland",70655,245.1,46673,2000,6
"556","United Kingdom",30683,206.559,16807,2014,20
"557","Hungary",1514662,215.81,868926,1998,4
"558","Cyprus",782.1,7.48,332.2,2002,8
"559","Portugal",8955,101.2,5411.2,2015,21
"560","Poland",149205,182.6,94358,2019,25
"561","Luxembourg",431.5,1.39,311.1,2016,22
