obserwacja_id,sklep_id,produkt_id,tydzien,kategoria,typ_sklepu,promocja,nowy_produkt,sprzedaz_rzeczywista,prognoza_bazowa,prognoza_alternatywna,blad_bazowy,blad_alternatywny,abs_blad_bazowy,abs_blad_alternatywny
7,1095,2019,22,napoje,sredni,0,0,53,70,75,17,22,17,22
540,1026,2022,34,napoje,duzy,1,0,60,100,60,40,0,40,0
285,1110,2046,21,napoje,duzy,0,0,0,65,175,65,175,65,175
306,1092,2063,43,chemia,duzy,0,1,115,25,25,-90,-90,90,90
854,1021,2053,8,nabial,dyskont,0,0,0,240,195,240,195,240,195
598,1002,2024,25,slodycze,sredni,0,0,19,30,35,11,16,11,16
536,1012,2066,26,nabial,sredni,0,0,33,35,20,2,-13,2,13
639,1093,2071,14,nabial,sredni,0,0,21,50,50,29,29,29,29
713,1132,2045,25,slodycze,maly,0,0,20,10,20,-10,0,10,0
339,1115,2029,4,napoje,dyskont,1,0,118,195,165,77,47,77,47
200,1022,2043,19,chemia,duzy,0,1,18,30,45,12,27,12,27
310,1056,2035,2,slodycze,sredni,0,0,14,40,35,26,21,26,21
644,1083,2040,4,nabial,dyskont,0,0,84,25,50,-59,-34,59,34
40,1047,2077,34,napoje,duzy,1,0,95,115,105,20,10,20,10
529,1019,2028,1,napoje,maly,0,0,22,25,30,3,8,3,8
452,1064,2080,11,slodycze,maly,0,0,13,45,20,32,7,32,7
882,1116,2035,27,przekaski,duzy,1,0,79,70,75,-9,-4,9,4
19,1108,2035,2,slodycze,duzy,0,0,105,65,55,-40,-50,40,50
338,1033,2083,10,napoje,maly,0,0,33,35,25,2,-8,2,8
372,1029,2083,34,przekaski,duzy,0,0,43,50,55,7,12,7,12
6,1082,2071,18,napoje,duzy,0,0,207,110,105,-97,-102,97,102
760,1063,2059,21,nabial,maly,0,0,8,25,30,17,22,17,22
500,1033,2009,29,napoje,sredni,0,0,25,25,20,0,-5,0,5
630,1033,2041,28,slodycze,maly,0,0,26,20,15,-6,-11,6,11
641,1109,2057,13,przekaski,duzy,0,1,26,30,60,4,34,4,34
274,1090,2059,9,slodycze,maly,0,0,22,20,15,-2,-7,2,7
731,1057,2019,7,slodycze,dyskont,0,0,47,70,65,23,18,23,18
756,1086,2018,38,napoje,dyskont,1,0,43,200,115,157,72,157,72
1,1109,2016,41,slodycze,dyskont,0,1,21,45,30,24,9,24,9
124,1012,2041,47,slodycze,dyskont,0,1,29,35,30,6,1,6,1
710,1076,2045,13,przekaski,sredni,0,0,23,70,20,47,-3,47,3
432,1124,2080,16,napoje,sredni,0,0,0,50,85,50,85,50,85
102,1079,2067,40,nabial,maly,1,0,22,35,25,13,3,13,3
875,1026,2064,32,napoje,duzy,1,0,60,85,105,25,45,25,45
52,1105,2017,19,slodycze,maly,1,0,48,35,35,-13,-13,13,13
412,1079,2023,13,chemia,duzy,0,0,41,30,35,-11,-6,11,6
259,1111,2075,14,przekaski,sredni,1,0,53,70,70,17,17,17,17
415,1060,2076,38,napoje,duzy,0,0,47,25,65,-22,18,22,18
701,1014,2073,30,slodycze,dyskont,1,0,144,150,60,6,-84,6,84
834,1078,2080,14,przekaski,duzy,0,0,42,80,80,38,38,38,38
27,1056,2007,26,napoje,sredni,0,0,32,55,50,23,18,23,18
247,1084,2005,11,przekaski,dyskont,0,0,34,110,80,76,46,76,46
496,1037,2050,35,slodycze,sredni,0,0,29,30,25,1,-4,1,4
333,1138,2019,21,przekaski,maly,1,0,44,20,20,-24,-24,24,24
314,1135,2019,7,chemia,sredni,0,0,10,5,20,-5,10,5,10
676,1025,2027,45,przekaski,sredni,0,1,8,10,10,2,2,2,2
252,1125,2085,26,nabial,maly,1,0,0,25,165,25,165,25,165
746,1112,2006,39,przekaski,duzy,0,0,44,25,50,-19,6,19,6
149,1027,2018,47,nabial,duzy,0,0,55,70,85,15,30,15,30
781,1103,2013,15,przekaski,maly,1,0,18,35,20,17,2,17,2
58,1128,2083,4,napoje,maly,1,0,65,30,50,-35,-15,35,15
243,1062,2081,5,nabial,duzy,1,0,95,135,60,40,-35,40,35
381,1043,2068,18,przekaski,duzy,0,0,90,15,45,-75,-45,75,45
89,1137,2003,43,nabial,maly,0,0,40,15,20,-25,-20,25,20
514,1011,2045,40,slodycze,sredni,0,0,49,30,30,-19,-19,19,19
173,1104,2086,30,nabial,maly,0,0,0,25,50,25,50,25,50
607,1066,2069,36,nabial,dyskont,0,0,96,125,75,29,-21,29,21
63,1070,2073,26,slodycze,duzy,0,0,41,75,80,34,39,34,39
783,1058,2066,26,napoje,sredni,0,0,70,25,45,-45,-25,45,25
569,1051,2084,3,przekaski,maly,0,0,21,15,15,-6,-6,6,6
147,1106,2035,46,slodycze,sredni,0,0,29,15,30,-14,1,14,1
835,1026,2005,32,napoje,sredni,0,0,28,25,30,-3,2,3,2
361,1133,2074,10,nabial,maly,0,0,45,20,30,-25,-15,25,15
301,1060,2001,30,slodycze,duzy,1,0,25,75,50,50,25,50,25
747,1073,2005,36,przekaski,duzy,0,0,54,40,25,-14,-29,14,29
174,1131,2087,23,nabial,maly,0,0,34,25,25,-9,-9,9,9
180,1009,2039,42,napoje,dyskont,0,0,108,45,95,-63,-13,63,13
484,1005,2059,49,przekaski,duzy,1,0,84,60,100,-24,16,24,16
212,1099,2075,2,slodycze,duzy,0,0,55,65,60,10,5,10,5
282,1031,2071,10,napoje,maly,1,0,36,50,50,14,14,14,14
531,1108,2009,10,napoje,duzy,0,0,139,70,95,-69,-44,69,44
722,1015,2075,17,slodycze,sredni,0,0,24,55,30,31,6,31,6
534,1070,2023,24,nabial,duzy,0,0,60,35,75,-25,15,25,15
597,1137,2038,7,przekaski,maly,1,0,35,20,25,-15,-10,15,10
337,1112,2052,37,slodycze,sredni,0,0,11,25,30,14,19,14,19
3,1009,2061,17,slodycze,maly,1,0,39,30,20,-9,-19,9,19
31,1090,2083,41,napoje,maly,0,0,23,25,25,2,2,2,2
492,1007,2032,20,napoje,maly,0,0,37,25,10,-12,-27,12,27
393,1063,2058,52,chemia,sredni,0,0,12,25,25,13,13,13,13
787,1020,2041,2,chemia,dyskont,0,0,53,45,35,-8,-18,8,18
316,1126,2036,4,nabial,sredni,1,0,58,80,35,22,-23,22,23
261,1071,2030,31,nabial,sredni,1,0,55,80,80,25,25,25,25
324,1094,2014,32,napoje,duzy,0,0,128,85,45,-43,-83,43,83
462,1084,2082,16,nabial,dyskont,0,0,56,90,135,34,79,34,79
711,1061,2006,32,przekaski,sredni,0,0,26,25,20,-1,-6,1,6
367,1033,2082,45,slodycze,maly,0,1,4,15,15,11,11,11,11
254,1138,2037,9,przekaski,maly,0,0,13,10,10,-3,-3,3,3
491,1044,2032,5,slodycze,duzy,0,0,92,30,60,-62,-32,62,32
331,1094,2073,49,nabial,sredni,1,0,31,60,65,29,34,29,34
399,1139,2083,2,slodycze,duzy,0,0,52,60,55,8,3,8,3
800,1108,2049,49,chemia,sredni,1,0,44,45,25,1,-19,1,19
555,1090,2023,9,slodycze,sredni,1,0,60,55,70,-5,10,5,10
820,1100,2059,33,slodycze,duzy,0,0,21,50,50,29,29,29,29
771,1014,2006,4,napoje,sredni,0,0,32,45,35,13,3,13,3
544,1135,2046,39,chemia,dyskont,1,0,34,50,65,16,31,16,31
219,1037,2048,23,nabial,dyskont,1,0,89,130,170,41,81,41,81
369,1105,2075,2,nabial,maly,0,0,92,30,20,-62,-72,62,72
72,1059,2072,26,napoje,maly,0,0,36,25,10,-11,-26,11,26
405,1071,2027,13,napoje,sredni,1,0,0,195,125,195,125,195,125
61,1007,2082,24,slodycze,sredni,0,1,24,15,20,-9,-4,9,4
106,1031,2005,17,nabial,duzy,0,0,119,75,60,-44,-59,44,59
119,1137,2051,36,napoje,duzy,1,0,160,90,155,-70,-5,70,5
593,1034,2071,10,przekaski,maly,1,0,22,35,15,13,-7,13,7
198,1062,2019,23,slodycze,duzy,0,0,26,40,55,14,29,14,29
833,1031,2029,40,przekaski,maly,0,0,0,30,45,30,45,30,45
294,1097,2056,27,nabial,duzy,1,0,52,90,125,38,73,38,73
115,1018,2008,43,przekaski,sredni,0,0,36,15,20,-21,-16,21,16
77,1092,2042,32,slodycze,maly,0,0,20,15,15,-5,-5,5,5
505,1120,2031,17,napoje,maly,0,0,29,30,35,1,6,1,6
275,1007,2069,35,przekaski,sredni,0,0,18,20,20,2,2,2,2
585,1029,2028,44,napoje,dyskont,0,0,145,40,125,-105,-20,105,20
84,1026,2011,37,napoje,dyskont,0,0,146,125,85,-21,-61,21,61
823,1013,2058,28,nabial,maly,0,0,11,30,30,19,19,19,19
133,1021,2076,36,nabial,maly,0,0,14,25,15,11,1,11,1
109,1078,2047,25,przekaski,sredni,0,0,59,45,35,-14,-24,14,24
654,1053,2061,42,nabial,sredni,1,0,28,20,50,-8,22,8,22
83,1075,2029,43,slodycze,maly,1,0,20,20,25,0,5,0,5
45,1015,2016,52,nabial,sredni,0,0,33,35,40,2,7,2,7
233,1007,2005,6,przekaski,maly,0,0,9,15,15,6,6,6,6
213,1109,2054,24,chemia,dyskont,0,0,57,80,50,23,-7,23,7
520,1115,2089,50,napoje,sredni,0,0,35,45,45,10,10,10,10
900,1106,2020,52,przekaski,sredni,0,0,23,15,20,-8,-3,8,3
813,1124,2075,34,slodycze,maly,0,0,19,5,15,-14,-4,14,4
269,1049,2062,25,chemia,sredni,0,0,24,10,25,-14,1,14,1
467,1050,2032,13,nabial,duzy,1,0,39,120,95,81,56,81,56
748,1031,2022,17,nabial,sredni,0,0,216,55,60,-161,-156,161,156
114,1130,2036,36,napoje,sredni,0,0,14,25,25,11,11,11,11
280,1106,2003,25,slodycze,maly,0,0,23,10,20,-13,-3,13,3
207,1109,2073,28,przekaski,sredni,1,0,37,60,20,23,-17,23,17
307,1049,2007,17,napoje,duzy,0,0,269,125,115,-144,-154,144,154
893,1067,2024,22,napoje,dyskont,1,0,188,175,160,-13,-28,13,28
791,1101,2063,43,napoje,duzy,0,0,69,55,50,-14,-19,14,19
594,1069,2023,12,przekaski,duzy,0,0,29,75,30,46,1,46,1
430,1041,2019,32,chemia,dyskont,1,0,48,50,75,2,27,2,27
165,1128,2057,23,chemia,duzy,0,0,55,60,45,5,-10,5,10
24,1036,2018,16,przekaski,dyskont,0,0,50,105,95,55,45,55,45
604,1037,2022,38,przekaski,sredni,0,0,17,30,20,13,3,13,3
855,1104,2071,43,napoje,maly,1,0,0,40,85,40,85,40,85
483,1057,2016,52,slodycze,maly,0,0,31,25,15,-6,-16,6,16
519,1103,2066,19,nabial,sredni,0,0,45,45,35,0,-10,0,10
613,1069,2082,27,przekaski,duzy,1,0,95,70,95,-25,0,25,0
588,1089,2056,18,napoje,dyskont,0,0,67,165,125,98,58,98,58
511,1065,2055,42,nabial,sredni,0,1,23,20,35,-3,12,3,12
441,1033,2052,4,nabial,sredni,0,0,49,30,30,-19,-19,19,19
720,1125,2030,51,nabial,duzy,0,0,47,65,50,18,3,18,3
359,1120,2052,12,nabial,dyskont,0,0,88,60,105,-28,17,28,17
899,1128,2010,25,chemia,sredni,1,1,14,10,15,-4,1,4,1
286,1035,2030,37,slodycze,maly,0,0,7,20,10,13,3,13,3
357,1095,2007,42,nabial,sredni,0,0,0,30,140,30,140,30,140
782,1015,2081,23,napoje,maly,1,0,23,25,45,2,22,2,22
175,1013,2055,32,napoje,sredni,0,0,36,75,35,39,-1,39,1
887,1034,2018,14,napoje,duzy,0,0,102,65,40,-37,-62,37,62
237,1007,2057,19,slodycze,maly,1,0,80,30,15,-50,-65,50,65
884,1056,2063,46,slodycze,duzy,1,0,46,75,50,29,4,29,4
251,1001,2068,9,slodycze,dyskont,0,0,62,100,110,38,48,38,48
373,1094,2077,30,nabial,maly,0,0,40,20,25,-20,-15,20,15
814,1113,2038,10,slodycze,maly,0,1,9,0,15,-9,6,9,6
610,1059,2062,28,slodycze,dyskont,0,0,80,50,70,-30,-10,30,10
185,1095,2023,2,slodycze,maly,0,0,18,20,15,2,-3,2,3
567,1112,2086,4,nabial,maly,0,0,32,15,25,-17,-7,17,7
228,1037,2078,18,napoje,sredni,0,0,34,55,65,21,31,21,31
578,1095,2089,36,nabial,dyskont,1,0,118,75,150,-43,32,43,32
638,1037,2023,14,przekaski,sredni,0,0,50,30,25,-20,-25,20,25
264,1126,2014,44,napoje,sredni,1,0,46,95,50,49,4,49,4
691,1116,2005,11,chemia,sredni,0,0,30,35,25,5,-5,5,5
406,1036,2082,36,chemia,maly,1,0,22,10,15,-12,-7,12,7
885,1095,2011,38,nabial,sredni,0,0,45,30,35,-15,-10,15,10
785,1091,2085,52,nabial,dyskont,0,0,105,80,105,-25,0,25,0
618,1040,2008,36,slodycze,maly,0,0,9,20,15,11,6,11,6
188,1112,2060,39,slodycze,maly,0,0,9,15,20,6,11,6,11
148,1116,2002,23,napoje,maly,0,1,26,20,25,-6,-1,6,1
276,1022,2070,51,slodycze,dyskont,1,0,124,105,40,-19,-84,19,84
163,1121,2016,2,napoje,maly,0,0,27,45,15,18,-12,18,12
443,1090,2059,10,napoje,dyskont,1,0,242,155,175,-87,-67,87,67
30,1116,2060,22,nabial,dyskont,1,0,168,55,195,-113,27,113,27
656,1133,2022,38,napoje,duzy,0,0,146,110,70,-36,-76,36,76
193,1052,2030,15,napoje,maly,0,0,30,30,40,0,10,0,10
166,1036,2037,24,przekaski,maly,1,0,51,15,30,-36,-21,36,21
772,1135,2057,33,slodycze,dyskont,0,0,109,45,80,-64,-29,64,29
698,1040,2082,32,chemia,duzy,0,0,39,20,40,-19,1,19,1
144,1092,2064,7,nabial,dyskont,1,0,111,170,115,59,4,59,4
91,1081,2048,40,slodycze,sredni,0,0,12,35,35,23,23,23,23
846,1017,2089,38,napoje,sredni,0,0,296,55,40,-241,-256,241,256
390,1059,2040,7,slodycze,duzy,0,1,45,30,40,-15,-5,15,5
671,1135,2087,48,chemia,maly,0,0,13,10,15,-3,2,3,2
15,1136,2045,17,napoje,maly,0,1,20,25,20,5,0,5,0
530,1075,2005,15,napoje,sredni,0,0,46,50,45,4,-1,4,1
195,1100,2014,21,napoje,maly,0,0,58,40,25,-18,-33,18,33
683,1073,2002,50,nabial,dyskont,0,0,57,75,120,18,63,18,63
696,1025,2057,20,przekaski,sredni,0,0,39,50,35,11,-4,11,4
736,1072,2077,52,przekaski,duzy,1,0,128,30,120,-98,-8,98,8
161,1036,2062,48,napoje,maly,0,0,24,25,20,1,-4,1,4
847,1051,2026,44,przekaski,sredni,0,0,36,20,35,-16,-1,16,1
709,1134,2085,38,przekaski,sredni,0,0,29,15,25,-14,-4,14,4
9,1036,2033,37,chemia,maly,0,0,17,0,10,-17,-7,17,7
182,1073,2057,18,slodycze,sredni,0,0,0,30,105,30,105,30,105
223,1084,2023,42,napoje,dyskont,1,0,167,50,150,-117,-17,117,17
487,1121,2084,23,slodycze,maly,1,0,20,35,25,15,5,15,5
678,1119,2023,33,nabial,maly,0,0,44,15,20,-29,-24,29,24
653,1042,2007,50,nabial,duzy,0,0,85,55,55,-30,-30,30,30
378,1118,2064,19,nabial,maly,0,0,14,15,20,1,6,1,6
617,1066,2053,5,slodycze,dyskont,0,0,72,55,55,-17,-17,17,17
375,1063,2087,14,przekaski,sredni,0,0,13,15,30,2,17,2,17
421,1008,2046,46,nabial,duzy,0,0,39,75,55,36,16,36,16
523,1131,2085,46,slodycze,maly,0,0,0,25,30,25,30,25,30
154,1094,2023,25,przekaski,sredni,0,0,42,40,30,-2,-12,2,12
409,1040,2008,34,nabial,duzy,0,0,56,50,40,-6,-16,6,16
867,1032,2002,41,przekaski,sredni,0,0,40,20,25,-20,-15,20,15
101,1089,2041,12,slodycze,maly,0,0,5,20,20,15,15,15,15
674,1090,2006,46,nabial,sredni,0,0,20,50,30,30,10,30,10
786,1137,2032,47,przekaski,maly,0,0,5,10,15,5,10,5,10
852,1018,2074,24,nabial,duzy,0,0,152,70,40,-82,-112,82,112
416,1001,2023,37,slodycze,sredni,0,0,0,75,80,75,80,75,80
832,1120,2050,36,nabial,sredni,0,0,27,40,40,13,13,13,13
145,1122,2032,9,nabial,dyskont,0,1,71,75,110,4,39,4,39
541,1059,2036,3,napoje,dyskont,0,0,76,155,105,79,29,79,29
669,1139,2025,15,przekaski,maly,0,0,18,20,20,2,2,2,2
562,1124,2063,15,napoje,dyskont,0,0,53,120,155,67,102,67,102
125,1095,2018,7,napoje,dyskont,0,0,294,105,75,-189,-219,189,219
248,1075,2047,18,przekaski,maly,0,0,40,15,15,-25,-25,25,25
257,1127,2076,20,napoje,maly,0,0,18,25,20,7,2,7,2
388,1019,2049,23,napoje,maly,1,0,52,30,20,-22,-32,22,32
196,1108,2029,47,slodycze,sredni,0,0,25,25,35,0,10,0,10
304,1109,2073,14,slodycze,sredni,0,0,45,40,40,-5,-5,5,5
807,1066,2007,43,napoje,sredni,0,0,71,35,55,-36,-16,36,16
538,1072,2019,31,napoje,sredni,1,0,497,80,95,-417,-402,417,402
475,1097,2062,6,nabial,sredni,0,0,49,45,60,-4,11,4,11
459,1097,2050,10,przekaski,dyskont,1,0,66,135,175,69,109,69,109
231,1044,2041,27,slodycze,maly,0,0,0,20,35,20,35,20,35
679,1134,2017,34,nabial,duzy,0,0,73,20,80,-53,7,53,7
440,1050,2036,21,slodycze,sredni,0,0,20,45,30,25,10,25,10
208,1101,2011,42,przekaski,maly,0,0,15,15,15,0,0,0,0
62,1053,2009,7,chemia,maly,0,0,14,15,20,1,6,1,6
699,1117,2074,17,nabial,dyskont,0,0,82,35,95,-47,13,47,13
206,1109,2001,9,chemia,sredni,0,0,12,15,35,3,23,3,23
693,1005,2087,30,napoje,maly,0,0,18,15,30,-3,12,3,12
620,1068,2080,34,slodycze,maly,0,1,10,5,10,-5,0,5,0
426,1025,2081,45,przekaski,maly,0,0,13,15,10,2,-3,2,3
112,1091,2027,3,przekaski,maly,0,1,8,10,20,2,12,2,12
554,1087,2044,41,slodycze,sredni,0,0,31,25,30,-6,-1,6,1
851,1001,2071,49,przekaski,sredni,0,0,35,15,30,-20,-5,20,5
767,1048,2071,32,napoje,maly,1,0,22,30,50,8,28,8,28
524,1083,2006,34,chemia,duzy,0,0,11,35,35,24,24,24,24
480,1009,2087,14,napoje,duzy,0,0,105,80,105,-25,0,25,0
25,1134,2044,41,slodycze,duzy,0,0,91,80,15,-11,-76,11,76
648,1012,2050,25,slodycze,maly,1,0,18,50,20,32,2,32,2
652,1123,2053,3,slodycze,maly,0,0,11,30,15,19,4,19,4
673,1034,2024,17,slodycze,maly,0,0,16,35,20,19,4,19,4
889,1024,2061,51,chemia,dyskont,0,0,28,45,40,17,12,17,12
758,1122,2008,30,slodycze,sredni,0,0,24,20,35,-4,11,4,11
469,1035,2014,48,przekaski,maly,0,0,12,10,20,-2,8,2,8
478,1101,2076,17,napoje,sredni,0,1,23,25,25,2,2,2,2
434,1015,2017,19,napoje,sredni,0,0,66,30,20,-36,-46,36,46
380,1048,2025,52,przekaski,sredni,0,0,31,30,20,-1,-11,1,11
859,1046,2004,51,przekaski,maly,0,0,24,5,15,-19,-9,19,9
368,1083,2053,2,slodycze,duzy,0,0,33,60,35,27,2,27,2
410,1019,2089,3,nabial,sredni,0,0,32,30,50,-2,18,2,18
611,1051,2034,47,nabial,sredni,0,0,31,30,55,-1,24,1,24
486,1056,2026,40,nabial,dyskont,0,0,114,95,55,-19,-59,19,59
658,1039,2042,50,przekaski,sredni,1,0,61,45,35,-16,-26,16,26
305,1032,2018,29,przekaski,sredni,0,0,34,20,20,-14,-14,14,14
750,1044,2089,18,napoje,dyskont,0,0,179,35,160,-144,-19,144,19
702,1021,2062,51,przekaski,duzy,0,0,74,30,60,-44,-14,44,14
586,1138,2060,12,przekaski,duzy,0,0,31,40,80,9,49,9,49
155,1049,2009,11,nabial,sredni,0,0,0,30,60,30,60,30,60
209,1024,2075,13,napoje,maly,0,0,9,20,30,11,21,11,21
158,1070,2067,1,slodycze,sredni,0,0,13,40,40,27,27,27,27
845,1081,2045,27,slodycze,dyskont,0,0,45,75,100,30,55,30,55
458,1117,2089,18,napoje,duzy,0,0,75,125,85,50,10,50,10
127,1030,2020,48,napoje,maly,0,0,11,10,20,-1,9,1,9
330,1053,2050,33,nabial,duzy,0,0,70,65,50,-5,-20,5,20
397,1008,2031,24,slodycze,dyskont,0,0,116,75,85,-41,-31,41,31
499,1071,2006,46,slodycze,maly,0,0,63,20,10,-43,-53,43,53
131,1054,2043,25,nabial,sredni,1,0,37,50,30,13,-7,13,7
600,1033,2010,31,chemia,sredni,0,1,8,10,15,2,7,2,7
863,1056,2026,18,slodycze,duzy,0,0,35,80,70,45,35,45,35
37,1085,2085,47,chemia,sredni,1,0,32,25,35,-7,3,7,3
201,1021,2083,9,nabial,duzy,0,0,73,55,100,-18,27,18,27
655,1061,2061,43,slodycze,maly,0,0,13,15,15,2,2,2,2
156,1062,2064,36,przekaski,sredni,0,0,10,20,20,10,10,10,10
860,1019,2082,48,napoje,sredni,0,0,24,35,50,11,26,11,26
79,1088,2030,19,przekaski,maly,0,0,0,10,20,10,20,10,20
442,1086,2065,29,slodycze,duzy,1,0,145,75,130,-70,-15,70,15
804,1020,2017,27,slodycze,sredni,0,0,20,40,45,20,25,20,25
553,1115,2020,35,chemia,sredni,0,0,8,25,15,17,7,17,7
197,1103,2018,23,chemia,maly,0,0,14,15,10,1,-4,1,4
719,1061,2011,50,nabial,sredni,0,0,33,40,40,7,7,7,7
178,1060,2085,34,napoje,duzy,1,0,202,125,185,-77,-17,77,17
543,1137,2068,28,chemia,sredni,0,0,20,20,20,0,0,0,0
32,1138,2032,11,chemia,dyskont,0,0,102,55,55,-47,-47,47,47
60,1103,2055,48,nabial,maly,0,0,14,10,20,-4,6,4,6
